Step,clouds01_test2016clouds01_oa,clouds10_test2016clouds10_oa,clouds25_test2016clouds25_oa,clouds50_test2016clouds50_oa,clouds80_test2016_oa,cloudsall_test2016clouds01_oa,cloudsall_test2016clouds10_oa,cloudsall_test2016clouds25_oa,cloudsall_test2016clouds50_oa,cloudsall_test2016_oa,clouds01_test2016clouds01_xe,clouds10_test2016clouds10_xe,clouds25_test2016clouds25_xe,clouds50_test2016clouds50_xe,clouds80_test2016_xe,cloudsall_test2016clouds01_xe,cloudsall_test2016clouds10_xe,cloudsall_test2016clouds25_xe,cloudsall_test2016clouds50_xe,cloudsall_test2016_xe
176192,0.86278684934,0.896680295467,0.896784285704,0.898565590382,0.844920774301,0.829809347788,0.850004136562,0.86601048708,0.872752785683,0.866731087367,0.546742816766,0.417551497618,0.428829282522,0.427148282528,0.576947788397,0.690639634927,0.651699999968,0.533633371194,0.54625505209,0.571167925994
180288,0.865984340509,0.881414473057,0.896168490251,0.909163514773,0.852705021699,0.827040791512,0.845841964086,0.864989360174,0.884919345379,0.858350753784,0.524095962445,0.440115888913,0.446946611007,0.382842739423,0.530683716138,0.704106767972,0.64123270909,0.530655741692,0.506501952807,0.60756200552
184384,0.869607925415,0.881863534451,0.893064936002,0.916487077872,0.874666790167,0.803386569023,0.850542724133,0.886615176996,0.879960119724,0.839451352755,0.523003051678,0.443030506372,0.449996829033,0.361600915591,0.464326967796,0.754315495491,0.606507142385,0.467718303204,0.504926244418,0.668816606204
188480,0.865588784218,0.877406279246,0.88598271211,0.909397701422,0.852712492148,0.806656201681,0.839562257131,0.88136267662,0.881951530774,0.838816940784,0.535055508216,0.465296943982,0.450218051672,0.385043005149,0.546189596256,0.735866208871,0.6637433966,0.477811078231,0.490355352561,0.6691579024
192576,0.863353987535,0.890148361524,0.905685087045,0.916517535845,0.854419688384,0.808588584264,0.848332246145,0.879837771257,0.866327702999,0.858156740665,0.557733933131,0.433522383372,0.379953106244,0.366926302512,0.535988360643,0.732176283995,0.626851598422,0.482915441195,0.512554705143,0.577821314335
196672,0.880394061406,0.874509016673,0.912656386693,0.907776912053,0.831311166286,0.83506466945,0.86436500152,0.8671682477,0.864162345727,0.867413977782,0.477440267801,0.474373628696,0.364453564088,0.377038747072,0.619454085827,0.671818176905,0.576233337323,0.509730597337,0.515414774418,0.545334736506
200768,0.870918432872,0.885849793752,0.914543131987,0.909930805365,0.83444917202,0.836577792962,0.866549611092,0.883437554042,0.87019153436,0.86118153731,0.510411292315,0.439691146215,0.36840603749,0.382337123156,0.591491997242,0.650032420953,0.516088614861,0.458835850159,0.505880643924,0.557995716731
204864,0.879347602526,0.889007528623,0.901635964712,0.895548144976,0.836972097556,0.833167572816,0.864786426226,0.886144459248,0.882597506046,0.849703510602,0.464703122775,0.423415919145,0.393213371436,0.411242991686,0.603026966254,0.665186822414,0.526961137851,0.447025010983,0.477982689937,0.605491538843
208960,0.857926110427,0.903438826402,0.888562440872,0.891002337138,0.843279659748,0.82436132431,0.829154272874,0.897275348504,0.894026299318,0.86007442077,0.533759762843,0.371234963338,0.396681944529,0.433887084325,0.560336430868,0.692665537198,0.628153642019,0.425430059433,0.441016236941,0.548244426648
213056,0.869146903356,0.910867393017,0.891261398792,0.87625904878,0.864181399345,0.830172439416,0.810689270496,0.895988444487,0.880294919014,0.838989257812,0.494924078385,0.358454823494,0.379838893811,0.452572266261,0.503212740024,0.672002434731,0.745285530885,0.427911818027,0.44955081741,0.60225318869
217152,0.848973313967,0.906095345815,0.896370271842,0.878635664781,0.873923202356,0.843404789766,0.782510340214,0.881553133329,0.8698310256,0.849538644155,0.554910600185,0.369923532009,0.373270124197,0.436925123135,0.456592102846,0.619819780191,0.798776348432,0.484257976214,0.488645126422,0.572993665934
221248,0.867768009504,0.891255736351,0.917143940926,0.890569746494,0.884076138337,0.845091720422,0.802507678668,0.86076738437,0.864079157511,0.830735842387,0.510200689236,0.422643115123,0.338681817055,0.402679870526,0.444973558187,0.594017068545,0.754082858562,0.561926970879,0.502059648434,0.627471605937
225344,0.871970375379,0.88480947415,0.923528035482,0.910759329796,0.885294377804,0.842095792294,0.829583505789,0.856627802054,0.869862298171,0.866791764895,0.48950128754,0.433457473914,0.324414809545,0.357782572508,0.44665535291,0.600970228513,0.630203386148,0.595708161592,0.506786435843,0.531123568614
229440,0.872532526652,0.891345500946,0.926055034002,0.925938526789,0.87613461415,0.824050068855,0.85557192564,0.885349492232,0.8650542895,0.863453308741,0.493922362725,0.415721337001,0.313550194105,0.307710528374,0.469862063726,0.626023610433,0.574002643426,0.495369195938,0.511888295412,0.524964561065
233536,0.870084643364,0.901999990145,0.904822409153,0.925829470158,0.875790675481,0.816952466965,0.867823898792,0.897176345189,0.872463325659,0.867431839307,0.489882806937,0.384334752957,0.369482169549,0.292691469193,0.46420665582,0.660565992196,0.506536742051,0.433245082696,0.486783752839,0.515698899825
237632,0.880882024765,0.900393267473,0.903392632802,0.926957170169,0.861036141713,0.823051095009,0.86815448602,0.876182436943,0.888607501984,0.857263167699,0.474685867627,0.380641698837,0.393383155266,0.285461574793,0.507555703322,0.639318525791,0.50594218572,0.476539343596,0.439104020596,0.54378442963
241728,0.905778427919,0.889032264551,0.890869021416,0.929578006268,0.859845221043,0.851226230462,0.871382455031,0.844403644403,0.885017752647,0.853013634682,0.391396224499,0.410359869401,0.443988054991,0.284354190032,0.517332384984,0.579372177521,0.482111652692,0.56089959542,0.423800249894,0.560381303231
245824,0.913156827291,0.906538089116,0.899970153968,0.925013720989,0.857504884402,0.877508958181,0.867336670558,0.833071172237,0.879567265511,0.859429359436,0.366042206685,0.3492945532,0.40555297335,0.296368896961,0.518566648165,0.497094094753,0.49231210351,0.58285844326,0.432437727849,0.55840481321
249920,0.91620306174,0.915037790934,0.897923648357,0.922031124433,0.879402856032,0.864344139894,0.882197638353,0.858444452286,0.860965331395,0.855935255686,0.345877518257,0.340967396895,0.39762121439,0.310417354107,0.446176350117,0.53058886528,0.435905704896,0.531093080839,0.473735133807,0.558440526326
